-- Criminality skin TextureID dump 2026-07-23 20:44:15
-- format: ItemName | DisplayName | TextureID | ...

AKS-74U | Battleworn Camo | 13842105937 | rarity=common | class=Guns
AKS-74U | Draco | 13388089214 | rarity=common | class=Guns
AKS-74U | Formula | 16010501274 | rarity=rare | class=Guns
AKS-74U | Jadestone | 13712930979 | rarity=legendary | class=Guns
AKS-74U | Sharkbite | 11684759812 | rarity=rare | class=Guns
BBaton | Magic Wand | 15447733301 | rarity=common | class=Melees
BBaton | Marbleized | 16688079257 | rarity=rare | class=Melees
BBaton | Silver-banded | 16688298201 | rarity=common | class=Melees
Balisong | Black Pearl | 16259029052 | rarity=exotic | class=Melees
Balisong | Bluegem | 16259042388 | rarity=exotic | class=Melees
Balisong | Damascus | 16259055593 | rarity=exotic | class=Melees
Balisong | Emerald | 16302919829 | rarity=exotic | class=Melees
Balisong | Fade | 16688046816 | rarity=rare | class=Melees
Balisong | Forest | 16259072166 | rarity=exotic | class=Melees
Balisong | Olive Drift | 16259085913 | rarity=exotic | class=Melees
Balisong | Rustic | 16259093221 | rarity=exotic | class=Melees
Balisong | Tan | 15445188373 | rarity=common | class=Melees
Balisong | Vanilla | 16259021346 | rarity=exotic | class=Melees
Balisong | Viper | 14983742104 | rarity=uncommon | class=Melees
Bat | Black Pearl | 15449155266 | rarity=exotic | class=Melees
Bat | Blackjack | 16687987095 | rarity=legendary | class=Melees
Bat | Bluegem | 15449171966 | rarity=exotic | class=Melees
Bat | Cosmic | 15445293206 | rarity=rare | class=Melees
Bat | Damascus | 15449190167 | rarity=exotic | class=Melees
Bat | Emerald | 15449096192 | rarity=exotic | class=Melees
Bat | Forest | 15449106139 | rarity=exotic | class=Melees
Bat | Laminate | 14983660185 | rarity=uncommon | class=Melees
Bat | Neapolitan | 16688469496 | rarity=common | class=Melees
Bat | Olive Drift | 15449137460 | rarity=exotic | class=Melees
Bat | Rustic | 15449148208 | rarity=exotic | class=Melees
Bat | Spiffle | 15445297130 | rarity=common | class=Melees
Bat | Vanilla | 15449203020 | rarity=exotic | class=Melees
Bayonet | Hydrographed | 16688339293 | rarity=uncommon | class=Melees
Bayonet | Red Topo | 14983041766 | rarity=common | class=Melees
Bayonet | Violet | 15448020909 | rarity=uncommon | class=Melees
Beretta | Clef | 13387793497 | rarity=uncommon | class=Guns
Beretta | Moss | 13443011965 | rarity=common | class=Guns
Beretta | Silvered | 15998401350 | rarity=common | class=Guns
Beretta | Tiger | 13704090301 | rarity=uncommon | class=Guns
Beretta | Urban Red | 13841598427 | rarity=common | class=Guns
Chainsaw | Chromatic | 16688110086 | rarity=rare | class=Melees
Chainsaw | Skull Forged | 15445199244 | rarity=uncommon | class=Melees
Chainsaw | Teal Coat | 14983382088 | rarity=common | class=Melees
Crowbar | Cobalt | 14982803953 | rarity=common | class=Melees
Crowbar | Hazardous | 16688168392 | rarity=uncommon | class=Melees
Deagle | Acrylic | 15178293739 | rarity=common | class=Guns
Deagle | Ember | 16041800350 | rarity=rare | class=Guns
Deagle | Federation | 15178328946 | rarity=legendary | class=Guns
